nom,ref,marque,modele,categorie,co2,nb_km,carburant,boite_vitesse,couleur,nb_portes,nb_places,mise_circulation,conso_mixte,p_fiscale,p_din,critair,prix
Peugeot 208,11911596198149,Peugeot,208,Citadine,A,34116,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,13512
Peugeot 208,11911596198150,Peugeot,208,Citadine,A,25374,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,14226
Peugeot 208,11911596198151,Peugeot,208,Citadine,A,50589,Diesel,Manuelle,Dark blue,5,5,2017,3.5,4,100,2,12798
Peugeot 208,11911596198152,Peugeot,208,Citadine,A,46986,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,13104
Peugeot 208,11911596198153,Peugeot,208,Citadine,A,55997,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,12696
Peugeot 208,12002261198154,Peugeot,208,Citadine,A,38107,Diesel,Manuelle,Rouge rubi,5,5,2017,3.5,4,100,2,13716
Peugeot 208,11911596198159,Peugeot,208,Citadine,A,68288,Diesel,Manuelle,Gris aluminium,5,5,2017,3.5,4,100,2,12390
Peugeot 208,12002261198160,Peugeot,208,Citadine,A,55287,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,13104
Peugeot 208,11911596198161,Peugeot,208,Citadine,A,60951,Diesel,Manuelle,Dark blue,5,5,2017,3.5,4,100,2,12594
Peugeot 208,11911596198162,Peugeot,208,Citadine,A,48625,Diesel,Manuelle,Gris aluminium,5,5,2017,3.5,4,100,2,13002
Peugeot 208,12002591199231,Peugeot,208,Citadine,B,20490,Essence,Manuelle,Rouge rubi,5,5,2017,4.5,4,82,1,13206
Peugeot 208,12002593199234,Peugeot,208,Citadine,B,41280,Essence,Manuelle,Gris hurricane,5,5,2017,4.5,4,82,1,12186
Peugeot 208,12002261199237,Peugeot,208,Citadine,A,63564,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,12798
Peugeot 208,12002261199238,Peugeot,208,Citadine,A,53448,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,13002
Peugeot 208,11911596199239,Peugeot,208,Citadine,A,41898,Diesel,Manuelle,Gris aluminium,5,5,2017,3.5,4,100,2,13206
Peugeot 208,11911596199243,Peugeot,208,Citadine,A,37356,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,13512
Peugeot 208,11911532199279,Peugeot,208,Citadine,B,11292,Essence,Manuelle,Rouge rubi,5,5,2017,4.5,4,82,1,13818
Peugeot 208,11911532199282,Peugeot,208,Citadine,B,60120,Essence,Manuelle,Orange power,5,5,2017,4.5,4,82,1,12186
Peugeot 208,12002605199283,Peugeot,208,Citadine,B,39380,Essence,Manuelle,Gris hurricane,5,5,2017,4.5,4,82,1,13002
Peugeot 208,12002606199284,Peugeot,208,Citadine,B,19600,Essence,Manuelle,Ice silver,5,5,2017,4.5,4,82,1,13818
Peugeot 208,12002592199827,Peugeot,208,Citadine,B,44470,Essence,Manuelle,Blanc banquise,5,5,2017,4.5,4,82,1,12186
Peugeot 208,12002261199829,Peugeot,208,Citadine,A,79877,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,12492
Peugeot 208,11911596199830,Peugeot,208,Citadine,A,43980,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,13206
Peugeot 208,11911596199831,Peugeot,208,Citadine,A,90381,Diesel,Manuelle,Gris aluminium,5,5,2017,3.5,4,100,2,11676
Peugeot 208,12002261199832,Peugeot,208,Citadine,A,50958,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,13206
Peugeot 208,12002261199833,Peugeot,208,Citadine,A,70937,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,12696
Peugeot 208,11911532199901,Peugeot,208,Citadine,B,60110,Essence,Manuelle,Gris aluminium,5,5,2017,4.5,4,82,1,12186
Peugeot 208,11911532199902,Peugeot,208,Citadine,B,40750,Essence,Manuelle,Gris aluminium,5,5,2017,4.5,4,82,1,13104
Peugeot 208,12002592201485,Peugeot,208,Citadine,B,25980,Essence,Manuelle,Blanc banquise,5,5,2017,4.5,4,82,1,12696
Peugeot 208,11911596201489,Peugeot,208,Citadine,A,48925,Diesel,Manuelle,Rouge rubi,5,5,2017,3.5,4,100,2,13002
Peugeot 208,11911596201490,Peugeot,208,Citadine,A,60479,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,12594
Peugeot 208,11911596201491,Peugeot,208,Citadine,A,33935,Diesel,Manuelle,Dark blue,5,5,2017,3.5,4,100,2,13716
Peugeot 208,11911596201492,Peugeot,208,Citadine,A,43760,Diesel,Manuelle,Dark blue,5,5,2017,3.5,4,100,2,13206
Peugeot 208,11911596201493,Peugeot,208,Citadine,A,27289,Diesel,Manuelle,Gris aluminium,5,5,2017,3.5,4,100,2,14226
Peugeot 208,11911596201494,Peugeot,208,Citadine,A,28252,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,14226
Peugeot 208,11911596201499,Peugeot,208,Citadine,A,29095,Diesel,Manuelle,Rouge rubi,5,5,2017,3.5,4,100,2,14226
Peugeot 208,11911532201500,Peugeot,208,Citadine,B,52998,Essence,Manuelle,Bleu virtuel,5,5,2017,4.5,4,82,1,12492
Peugeot 208,11911532201501,Peugeot,208,Citadine,B,26430,Essence,Manuelle,Rouge rubi,5,5,2017,4.5,4,82,1,13206
Peugeot 208,11911532201502,Peugeot,208,Citadine,B,44880,Essence,Manuelle,Rouge rubi,5,5,2017,4.5,4,82,1,12798
Peugeot 208,12003665202510,Peugeot,208,Citadine,B,10748,Essence,Manuelle,Noir perla nera,5,5,2019,4.7,4,82,1,13716
Peugeot 208,12003673202511,Peugeot,208,Citadine,B,12231,Essence,Manuelle,Noir perla nera,5,5,2019,4.7,4,82,1,15246
Peugeot 208,12003683202531,Peugeot,208,Citadine,B,7722,Essence,Manuelle,Gris platinium,5,5,2019,4.7,4,82,1,14736
Peugeot 208,12003683202532,Peugeot,208,Citadine,B,5978,Essence,Manuelle,Gris platinium,5,5,2019,4.7,4,82,1,14736
Peugeot 208,12003683202534,Peugeot,208,Citadine,B,792,Essence,Manuelle,Rouge rubi,5,5,2019,4.7,4,82,1,15756
Peugeot 208,12003692202555,Peugeot,208,Citadine,B,7144,Essence,Manuelle,Dark blue,5,5,2019,4.7,4,82,1,14736
Peugeot 208,12003673202938,Peugeot,208,Citadine,B,7462,Essence,Manuelle,Gris platinium,5,5,2019,4.7,4,82,1,15756
Peugeot 208,11911532203073,Peugeot,208,Citadine,B,45410,Essence,Manuelle,Gris aluminium,5,5,2017,4.5,4,82,1,12798
Peugeot 208,12002605203074,Peugeot,208,Citadine,B,35040,Essence,Manuelle,Gris hurricane,5,5,2017,4.5,4,82,1,13104
Peugeot 208,11911532203075,Peugeot,208,Citadine,B,31890,Essence,Manuelle,Rouge rubi,5,5,2017,4.5,4,82,1,13308
Peugeot 208,12002605203076,Peugeot,208,Citadine,B,16580,Essence,Manuelle,Gris hurricane,5,5,2017,4.5,4,82,1,13716
Peugeot 208,12002593203081,Peugeot,208,Citadine,B,40230,Essence,Manuelle,Gris hurricane,5,5,2017,4.5,4,82,1,12186
Peugeot 208,12002591203082,Peugeot,208,Citadine,B,40880,Essence,Manuelle,Orange power,5,5,2017,4.5,4,82,1,12186
Peugeot 208,12002591203083,Peugeot,208,Citadine,B,29760,Essence,Manuelle,Rouge rubi,5,5,2017,4.5,4,82,1,13206
Peugeot 208,12002261203084,Peugeot,208,Citadine,A,47569,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,13206
Peugeot 208,12003930203085,Peugeot,208,Citadine,A,36060,Diesel,Manuelle,Bleu virtuel,5,5,2017,3.5,4,100,2,12900
Peugeot 208,12003930203086,Peugeot,208,Citadine,A,26643,Diesel,Manuelle,Rouge rubi,5,5,2017,3.5,4,100,2,13206
Peugeot 208,12003933203088,Peugeot,208,Citadine,A,52654,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,13104
Peugeot 208,12003930203092,Peugeot,208,Citadine,A,46605,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,12696
Peugeot 208,12003930203093,Peugeot,208,Citadine,A,63163,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,12084
