nom,ref,marque,modele,categorie,co2,nb_km,carburant,boite_vitesse,couleur,nb_portes,nb_places,mise_circulation,conso_mixte,p_fiscale,p_din,critair,prix
Renault clio 4,Réf. pro : 580renvo216947_x208000326 | réf. annonce : e106162453,Renault,Clio 4,Citadine,B,10041.0,Essence,Manuelle,Gris,5.0,5.0,2019,5,5.0,90,1.0,13780
Renault megane 4,Réf. pro : 553renvo179682_p195303606 | réf. annonce : e105893007,Renault,Megane 4,Berline,B,22235.0,Diesel,Manuelle,Rouge,5.0,5.0,2020,3.9,6.0,116,2.0,20380
Renault kadjar,Réf. pro : 128491 | réf. annonce : e106244418,Renault,Kadjar,Suv 4x4,C,35101.0,Essence,Manuelle,Blanc,5.0,5.0,2018,5.6,7.0,131,1.0,18520
Renault captur,Réf. pro : 562renvo149792_g206200497 | réf. annonce : e106455535,Renault,Captur,Suv 4x4,B,16143.0,Diesel,Auto,Gris,5.0,5.0,2020,4.3,5.0,90,2.0,18980
Renault clio 4,Réf. pro : jbmz_1562 | réf. annonce : e106536203,Renault,Clio 4,Citadine,B,21617.0,Essence,Manuelle,Gris platine métl,5.0,5.0,2018,4.5,5.0,90,1.0,11750
Renault clio 5,Réf. pro : 506renvn34471_a8184_vsvd | réf. annonce : e106525607,Renault,Clio 5,Citadine,B,1740.0,Essence,Auto,Bleu,5.0,5.0,2020,5.2,7.0,131,1.0,23080
Renault megane 4,Réf. pro : 571renvo183509_x207100757 | réf. annonce : e106491686,Renault,Megane 4,Berline,C,30106.0,Essence,Manuelle,Gris,5.0,5.0,2020,5.5,7.0,140,1.0,19340
Renault talisman,Réf. pro : er530 | réf. annonce : w101744068,Renault,Talisman,Berline,C,31457.0,Essence,Auto,Blanc verni,4.0,5.0,2018,5,11.0,200,1.0,22870
Renault clio 4,Réf. pro : fyhg_6348 | réf. annonce : e106533781,Renault,Clio 4,Citadine,B,25592.0,Essence,Manuelle,Rouge flamme,5.0,5.0,2018,4.7,5.0,90,1.0,12640
Renault captur,Réf. pro : re59c13_220006 | réf. annonce : e105905278,Renault,Captur,Suv 4x4,B,21407.0,Diesel,Auto,Bleu marine fume,5.0,5.0,2020,4.3,5.0,90,2.0,16640
Renault clio 4,Réf. pro : 0409u0000305 | réf. annonce : e106502380,Renault,Clio 4,Citadine,B,21796.0,Essence,Manuelle,Gris clair,5.0,5.0,2018,4.7,5.0,90,1.0,12060
Renault megane 4,Réf. pro : pkid_29763 | réf. annonce : e106435115,Renault,Megane 4,Berline,B,11.0,Diesel,Manuelle,Gris platine,5.0,5.0,2020,Nan,6.0,0,1.0,24480
Renault captur,Réf. pro : 553renvo179133_p195303389 | réf. annonce : e105703891,Renault,Captur,Suv 4x4,B,16742.0,Diesel,Auto,Gris,5.0,5.0,2019,4.3,5.0,90,2.0,18510
Renault scenic 3,Réf. pro : j476c1_3013814 | réf. annonce : e106511197,Renault,Scenic 3,Monospace,B,41691.0,Diesel,Manuelle,Noir,5.0,5.0,2017,4.4,7.0,130,2.0,16780
Renault captur,Réf. pro : 572renvo165921_p207200604 | réf. annonce : e106459252,Renault,Captur,Suv 4x4,C,7024.0,Essence,Manuelle,Beige,5.0,5.0,2020,5.6,8.0,150,1.0,23700
Renault twingo 3,Réf. pro : 580renvo217137_e208000468 | réf. annonce : e106427854,Renault,Twingo 3,Citadine,B,4419.0,Essence,Manuelle,Rouge,5.0,4.0,2020,4.7,5.0,93,1.0,14970
Renault clio 4,Réf. pro : 0409u0000303 | réf. annonce : e106502388,Renault,Clio 4,Citadine,B,24129.0,Essence,Manuelle,Gris clair,5.0,5.0,2018,4.7,5.0,90,1.0,12900
Renault talisman,Réf. pro : re36c1_ds1200188 | réf. annonce : e106145297,Renault,Talisman,Berline,B,43924.0,Diesel,Auto,Gris,4.0,5.0,2019,4.5,8.0,160,2.0,25140
Renault clio 5,Réf. pro : 571renvo181523_a207100381 | réf. annonce : e106093429,Renault,Clio 5,Citadine,A,30.0,Essence,Manuelle,Rouge,5.0,5.0,2020,4.4,5.0,101,1.0,18430
Renault captur,Réf. pro : 0409u0000245 | réf. annonce : e106202277,Renault,Captur,Suv 4x4,A,81267.0,Diesel,Manuelle,Brun,5.0,5.0,2018,3.7,5.0,110,2.0,16720
Renault clio 4,Réf. pro : 580renvo216515_a208000417 | réf. annonce : e106399433,Renault,Clio 4,Citadine,B,43835.0,Essence,Manuelle,Rouge,5.0,5.0,2016,4.9,5.0,90,1.0,12190
Renault clio 4,Réf. pro : liit_8233 | réf. annonce : e106243452,Renault,Clio 4,Citadine,A,87152.0,Diesel,Manuelle,Blanc,5.0,5.0,2017,3.2,4.0,90,2.0,10370
Renault scenic 3,Réf. annonce : w101745594,Renault,Scenic 3,Monospace,B,139396.0,Diesel,Manuelle,Blanc verni,5.0,5.0,2016,4,5.0,110,2.0,11760
Renault captur,Réf. pro : 583renvo216051_e208300702 | réf. annonce : e106455592,Renault,Captur,Suv 4x4,A,51084.0,Diesel,Manuelle,Marron,5.0,5.0,2018,3.7,5.0,110,2.0,16800
